RAIL_OPR_ISTT_CD,LN_CD,STIN_CD,STIN_NM
S9,9,901,개화
S9,9,902,김포공항
S9,9,903,공항시장
S9,9,904,신방화
S9,9,905,마곡나루
S9,9,906,양천향교
S9,9,907,가양
S9,9,908,증미
S9,9,909,등촌
S9,9,910,염창
S9,9,911,신목동
S9,9,912,선유도
S9,9,913,당산
S9,9,914,국회의사당
S9,9,915,여의도
S9,9,916,샛강
S9,9,917,노량진
S9,9,918,노들
S9,9,919,흑석(중앙대입구)
S9,9,920,동작(현충원)
S9,9,921,구반포
S9,9,922,신반포
S9,9,923,고속터미널
S9,9,924,사평
S9,9,925,신논현
S9,9,926,언주
S9,9,927,선정릉
S9,9,928,삼성중앙
S9,9,929,봉은사
S9,9,930,종합운동장
S9,9,931,삼전
S9,9,932,석촌고분
S9,9,933,석촌
S9,9,934,송파나루
S9,9,935,한성백제
S9,9,936,올림픽공원(한국체대)
S9,9,937,둔촌오륜
S9,9,938,중앙보훈병원
SL,L1,S401,샛강
SL,L1,S402,대방
SL,L1,S403,서울지방병무청
SL,L1,S404,보라매
SL,L1,S405,보라매공원
SL,L1,S406,보라매병원
SL,L1,S407,당곡
SL,L1,S408,신림
SL,L1,S409,서원
SL,L1,S410,서울대벤처타운
SL,L1,S411,관악산(서울대)
SW,WS,S16,소사
SW,WS,S17,소새울
SW,WS,S18,시흥대야
SW,WS,S19,신천
SW,WS,S20,신현
SW,WS,S22,시흥시청
SW,WS,S23,시흥능곡
SW,WS,S24,달미
SW,WS,S25,선부
SW,WS,S26,초지
SW,WS,S27,시우
SW,WS,S28,원시
UI,UI,S110,북한산우이
UI,UI,S111,솔밭공원
UI,UI,S112,4.19민주묘지
UI,UI,S113,가오리
UI,UI,S114,화계
UI,UI,S115,삼양
UI,UI,S116,삼양사거리
UI,UI,S117,솔샘
UI,UI,S118,북한산보국문
UI,UI,S119,정릉
UI,UI,S120,성신여대입구
UI,UI,S121,보문
UI,UI,S122,신설동
UL,U1,110,발곡
UL,U1,111,회룡
UL,U1,112,범골
UL,U1,113,경전철의정부
UL,U1,114,의정부시청
UL,U1,115,흥선
UL,U1,117,의정부중앙
UL,U1,118,동오
UL,U1,119,새말
UL,U1,120,경기도청북부청사
UL,U1,121,효자
UL,U1,122,곤제
UL,U1,123,어룡(용현산업단지)
UL,U1,124,송산
UL,U1,125,탑석
BG,B1,101,사상(서부터미널)
BG,B1,102,괘법르네시떼(강변공원)
BG,B1,103,서부산유통지구(금호마을)
BG,B1,104,공항
BG,B1,105,덕두
BG,B1,106,등구
BG,B1,107,대저
BG,B1,108,평강
BG,B1,109,대사
BG,B1,110,불암
BG,B1,111,지내
BG,B1,112,김해대학(안동)
BG,B1,113,인제대(활천)
BG,B1,114,김해시청
BG,B1,115,부원
BG,B1,116,봉황(김해여객터미널)
BG,B1,117,수로왕릉(김해보건소)
BG,B1,118,박물관
BG,B1,119,연지공원
BG,B1,120,장신대(화정)
BG,B1,121,가야대(삼계)
BS,1,100,동매
BS,1,101,신평
BS,1,102,하단(부산본병원)
BS,1,103,당리(사하구청)
BS,1,104,사하
BS,1,105,괴정
BS,1,106,대티(동주대학)
BS,1,107,서대신
BS,1,108,동대신
BS,1,109,토성
BS,1,110,자갈치
BS,1,111,남포
BS,1,112,중앙
BS,1,113,부산
BS,1,114,초량
BS,1,115,부산진
BS,1,116,좌천
BS,1,117,범일
BS,1,118,범내골
BS,1,119,서면
BS,1,120,부전(부산시민공원·송상현광장)
BS,1,121,양정
BS,1,122,시청(연제)
BS,1,123,연산
BS,1,124,교대
BS,1,125,동래
BS,1,126,명륜
BS,1,127,온천장
BS,1,128,부산대
BS,1,129,장전(부산가톨릭대학교)
BS,1,130,구서
BS,1,131,두실
BS,1,132,남산(부산외국대학교)
BS,1,133,범어사
BS,1,134,노포(종합버스터미널)
BS,1,195,다대포해수욕장
BS,1,196,다대포항
BS,1,197,낫개
BS,1,198,신장림
BS,1,199,장림
BS,2,201,장산(해운대백병원)
BS,2,202,중동
BS,2,203,해운대
BS,2,204,동백
BS,2,205,벡스코(시립미술관)
BS,2,206,센텀시티(BEXCO·신세계)
BS,2,207,민락
BS,2,208,수영
BS,2,209,광안
BS,2,210,금련산
BS,2,211,남천(KBS·수영구청)
BS,2,212,경성대·부경대(동명대학교)
BS,2,213,대연(고려병원)
BS,2,214,못골(남구청)
BS,2,215,지게골
BS,2,216,문현
BS,2,217,국제금융센터·부산은행
BS,2,218,전포
BS,2,219,서면
BS,2,220,부암(온종합병원)
BS,2,221,가야
BS,2,222,동의대
BS,2,223,개금
BS,2,224,냉정
BS,2,225,주례
BS,2,226,감전(사상구청)
BS,2,227,사상(서부터미널)
BS,2,228,덕포
BS,2,229,모덕
BS,2,230,모라
BS,2,231,구남
BS,2,232,구명
BS,2,233,덕천(부산과기대)
BS,2,234,수정(방송통신대)
BS,2,235,화명
BS,2,236,율리
BS,2,237,동원
BS,2,238,금곡
BS,2,239,호포
BS,2,240,증산
BS,2,241,부산대양산캠퍼스
BS,2,242,남양산(범어)
BS,2,243,양산(시청·동원과학기술대학교)
BS,3,301,수영
BS,3,302,망미(병무청)
BS,3,303,배산
BS,3,304,물만골
BS,3,305,연산
BS,3,306,거제(법원·검찰청)
BS,3,307,종합운동장
BS,3,308,사직
BS,3,309,미남
BS,3,310,만덕
BS,3,311,남산정(부산폴리텍대학)
BS,3,312,숙등(부민병원)
BS,3,313,덕천(부산과기대)
BS,3,314,구포
BS,3,315,강서구청
BS,3,316,체육공원
BS,3,317,대저
BS,4,401,미남
BS,4,402,동래
BS,4,403,수안
BS,4,404,낙민
BS,4,405,충렬사(안락)
BS,4,406,명장
BS,4,407,서동
BS,4,408,금사
BS,4,409,반여농산물시장
BS,4,410,석대
BS,4,411,영산대(아랫반송)
BS,4,412,윗반송
BS,4,413,고촌
BS,4,414,안평(고촌주택단지)
KR,K6,K110,부전
KR,K6,K111,거제해맞이
KR,K6,K112,거제(법원·검찰청)
KR,K6,K113,교대
KR,K6,K114,동래
KR,K6,K115,안락
KR,K6,K116,부산원동
KR,K6,K117,재송
KR,K6,K118,센텀
KR,K6,K119,벡스코
