노선번호
2
3
4
100
101
102
105
107
108
109
120
121
130
140
141
142
143
144
145
146
147
148
150
151
152
153
160
162
171
173
201
202
240
241
242
260
261
262
270
271
272
273
301
302
303
320
333
340
341
342
343
350
360
362
370
400
401
402
405
406
420
421
440
441
452
461
463
470
472
500
501
502
503
504
505
506
507
540
541
542
571
600
601
602
603
604
605
606
640
641
643
650
651
653
654
660
661
662
672
673
674
700
701
704
705
707
708
710
720
721
740
741
751
752
753
761
771
773
1020
1111
1120
1127
1128
1132
1135
1138
1139
1140
1144
1154
1155
1167
1213
1218
1222
1224
1227
1711
2012
2013
2014
2015
2016
2112
2221
2222
2227
2230
2233
2234
2235
2311
2412
2413
2415
3011
3012
3212
3214
3216
3217
3220
3313
3314
3315
3316
3317
3318
3319
3321
3322
3411
3412
3413
3414
3416
3417
3422
3425
3426
4211
4212
4319
4412
4419
4432
4435
5012
5413
5513
5516
5517
5523
5524
5525
5528
5530
5531
5534
5535
5536
5537
5615
5616
5617
5618
5619
5620
5623
5624
5625
5626
5627
5630
5633
5712
5713
5714
6211
6411
6511
6512
6513
6514
6515
6516
6614
6620
6623
6627
6628
6629
6630
6631
6635
6637
6638
6645
6648
6657
6712
6714
6715
6716
7011
7016
7017
7018
7019
7021
7022
7025
7211
7212
7611
7612
7613
7711
7713
7715
7720
7722
7723
7727
7728
7730
7734
7738
8331
8761
01A
110A
2312A
4318방배
5522A
6640A
7013A
702A
750A
N13상계
N15사당
N16도봉
N26강서
N37송파
N61상계
N62면목
