노선명,ROUTE_ID
강남05,122900002
강남06,122900005
강남06-1,122900007
강남06-2,122900010
강남07,122900001
강남08,122900008
강남10,122900009
강동01,124900002
강동02,124900003
강동05,124900001
강북01,108900006
강북02,108900002
강북03,108900003
강북04,108900005
강북05,108900008
강북06,108900007
강북08,108900013
강북09,108900004
강북10,108900009
강북11,108900001
강북12,108900012
강서01,115900006
강서02,115900003
강서03,115900004
강서04,115900001
강서05,115900005
강서05-1,115900008
강서06,115900002
강서07,115900007
관악01,120900005
관악02,120900008
관악03,120900003
관악04,120900009
관악05,120900010
관악06,120900004
관악07,120900006
관악08,120900007
관악10,120900002
관악11,114900004
광진01,104900005
광진02,104900003
광진03,104900002
광진04,104900001
광진05,104900004
구로01,116900013
구로02,116900014
구로03,116900010
구로04,116900011
구로05,116900009
구로06,116900012
구로07,116900006
구로08,116900015
구로09,116900007
구로10,116900003
구로11,116900004
구로12,116900002
구로13,116900001
구로14,116900005
구로15,116900016
금천01,117900008
금천02,117900006
금천03,117900003
금천04,117900002
금천05,117900001
금천06,117900004
금천07,117900007
금천08,117900005
금천11,117900010
노원01,110900004
노원02,110900009
노원03,110900005
노원04,110900001
노원05,110900003
노원08,110900007
노원09,110900006
노원11,110900002
노원13,110900008
노원14,109900011
노원15,109900010
도봉01,109900001
도봉02,108900010
도봉03,109900007
도봉04,109900008
도봉05,109900004
도봉06,109900003
도봉07,109900002
도봉08,109900006
도봉09,109900005
동대문01,105900003
동대문02,105900002
동대문03,105900006
동대문05,105900001
동작01,119900007
동작02,119900013
동작03,119900020
동작05,119900022
동작05-1,119900023
동작06,119900014
동작07,119900018
동작08,119900009
동작09,119900019
동작10,119900006
동작11,119900011
동작12,119900021
동작13,120900001
동작14,119900012
동작15,119900010
동작16,119900017
동작17,119900016
동작18,119900015
동작19,119900008
동작20,119900001
동작21,119900024
마포01,102900001
마포02,113900005
마포03,113900002
마포05,113900011
마포06,113900012
마포07,113900010
마포08,113900013
마포09,113900015
마포10,113900008
마포11,113900004
마포12,113900003
마포13,113900007
마포14,113900006
마포15,113900014
마포16,113900009
마포17,113900001
마포18,113900016
마포18-1,113900017
서대문01,112900010
서대문02대,112900014
서대문02소,112900015
서대문03,112900004
서대문04,112900011
서대문05,112900009
서대문06,112900007
서대문07,112900003
서대문08,100900012
서대문09대,112900012
서대문09소,112900013
서대문10,112900001
서대문11,112900006
서대문12,112900002
서대문13,112900005
서대문14,112900008
서대문15,108900014
서초01,121900009
서초02,121900008
서초03,121900005
서초05,119900003
서초06,119900002
서초07,121900011
서초08,121900002
서초09,121900007
서초10,121900003
서초11,121900006
서초13,121900013
서초14,121900010
서초15,121900012
서초16,119900005
서초17,119900004
서초18,121900016
서초18-1,121900015
서초20,121900004
서초21,121900001
서초22,121900014
성동01,103900003
성동02,103900004
성동03-1,103900011
성동03-2,103900012
성동05,101900001
성동06,103900007
성동07,103900005
성동08,103900002
성동09,103900001
성동10,103900008
성동12,103900009
성동13,103900010
성동14,103900013
성북01,107900008
성북02,107900003
성북03,107900002
성북04,107900005
성북05,107900011
성북06,107900012
성북07,107900013
성북08,107900007
성북09,107900006
성북10-1,107900014
성북10-2,107900017
성북12,107900004
성북13,107900001
성북14-1,107900010
성북14-2,107900016
성북15,107900015
성북20,105900004
성북21,105900005
성북22,107900009
양천01,114900001
양천02,114900002
양천03,114900003
양천04,116900018
영등포01,116900008
영등포02,118900004
영등포03,118900005
영등포04,118900001
영등포05,118900006
영등포06,118900003
영등포07,118900002
영등포08,118900007
영등포09,116900017
영등포10,118900008
영등포11,118900009
영등포12,114900006
영등포13,114900005
용산01,102900003
용산02,102900002
용산03,102900004
용산04,101900002
은평01,111900002
은평02,111900003
은평03,111900001
은평04,111900004
은평05,111900005
은평06,111900007
은평07,111900006
은평08-1,111900011
은평08-2,111900012
은평09,111900009
은평10,111900010
종로01,100900006
종로02,100900008
종로03,100900010
종로05,100900011
종로07,100900004
종로08,100900005
종로09,100900003
종로11,100900007
종로12,100900009
종로13,100900002
중랑01,106900001
중랑02,106900002
